sightability_score,sightability_tier,scientific_name,common_name_en,common_name_es,category,phylum,class,order,family,has_photo,inat_observations,observation_count,wikipedia_url
65,common,Argopecten purpuratus,Purple Scallop,Concha de Abanico,mollusks,Mollusca,Bivalvia,Pectinida,Pectinidae,yes,168,1,http://en.wikipedia.org/wiki/Argopecten_purpuratus
65,common,Lottia orbignyi,,Lapa señorita,mollusks,Mollusca,Gastropoda,,Lottiidae,yes,154,1,http://en.wikipedia.org/wiki/Lottia_orbignyi
65,common,Helcogrammoides cunninghami,Cunningham's Triplefin,Diablillo,fish_and_vertebrates,Chordata,Teleostei,Blenniiformes,Tripterygiidae,yes,153,1,http://en.wikipedia.org/wiki/Cunningham's_triplefin
65,common,Fissurella picta,,Fisurela oval,mollusks,Mollusca,Gastropoda,Lepetellida,Fissurellidae,yes,146,3,https://en.wikipedia.org/wiki/Fissurella_picta
65,common,Mesodesma donacium,,macha,mollusks,Mollusca,Bivalvia,Venerida,Mesodesmatidae,yes,138,2,
65,common,Ulva compressa,Thread Weed,,algae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,yes,137,1,http://en.wikipedia.org/wiki/Ulva_compressa
65,common,Dosidicus gigas,Humboldt Squid,Calamar de Humboldt,mollusks,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,yes,133,1,http://en.wikipedia.org/wiki/Humboldt_squid
65,common,Fissurella oriens,Small Banded Keyhole Limpet,Lapa bandeada chica,mollusks,Mollusca,Gastropoda,Lepetellida,Fissurellidae,yes,127,1,https://en.wikipedia.org/wiki/Fissurella_oriens
65,common,Semicassis centiquadrata,Panamic bonnet snail,Caracol de capota panameño,mollusks,Mollusca,Gastropoda,Littorinimorpha,Cassidae,yes,120,1,https://en.wikipedia.org/wiki/Semicassis_centiquadrata
65,common,Fissurella maxima,Giant Keyhole Limpet,Lapa reina,mollusks,Mollusca,Gastropoda,Lepetellida,Fissurellidae,yes,97,7,https://en.wikipedia.org/wiki/Fissurella_maxima
65,common,Doryteuthis gahi,Patagonian Squid,Calamarete del sur,mollusks,Mollusca,Cephalopoda,Myopsida,Loliginidae,yes,100,1,https://en.wikipedia.org/wiki/Doryteuthis_gahi
65,common,Hepatus chiliensis,,Jaiba puñete,crustaceans,Arthropoda,Malacostraca,Decapoda,Aethridae,yes,98,1,
65,common,Allopetrolisthes punctatus,,Changai,crustaceans,Arthropoda,Malacostraca,Decapoda,Porcellanidae,yes,90,1,
65,common,Pseudocorystes sicarius,,Jaiba botón,crustaceans,Arthropoda,Malacostraca,Decapoda,Atelecyclidae,yes,89,1,
65,common,Metacarcinus edwardsii,mola rock crab,Jaiba marmola,crustaceans,Arthropoda,Malacostraca,Decapoda,Cancridae,yes,73,2,http://en.wikipedia.org/wiki/Metacarcinus_edwardsii
65,common,Pinnotherelia laevigata,,Cangrejito plomo,crustaceans,Arthropoda,Malacostraca,Decapoda,Varunidae,yes,73,1,
65,common,Pisoides edwardsii,Edwards spider crab,,crustaceans,Arthropoda,Malacostraca,Decapoda,Epialtidae,yes,72,1,
65,common,Eleginops maclovinus,Patagonian Blenny,Róbalo,fish_and_vertebrates,Chordata,Teleostei,Perciformes,Eleginopidae,yes,69,2,http://en.wikipedia.org/wiki/Eleginops_maclovinus
65,common,Engraulis ringens,anchoveta,Anchoveta peruana,fish_and_vertebrates,Chordata,Teleostei,Clupeiformes,Engraulidae,yes,60,10,http://en.wikipedia.org/wiki/Peruvian_anchoveta
65,common,Pilumnoides perlatus,Garnet Crab,,crustaceans,Arthropoda,Malacostraca,Decapoda,Pilumnoididae,yes,66,1,
65,common,Allopetrolisthes spinifrons,Chilean Anemone Porcelain Crab,cangrejito de anemona,crustaceans,Arthropoda,Malacostraca,Decapoda,Porcellanidae,yes,64,1,http://en.wikipedia.org/wiki/Allopetrolisthes_spinifrons
65,common,Hypsoblennius sordidus,Bull Blenny,,fish_and_vertebrates,Chordata,Teleostei,Blenniiformes,Blenniidae,yes,50,11,http://en.wikipedia.org/wiki/Hypsoblennius_sordidus
65,common,Prolatilus jugularis,Pacific Sandperch,Blanquillo,fish_and_vertebrates,Chordata,Teleostei,Perciformes,Pinguipedidae,yes,37,16,https://en.wikipedia.org/wiki/Prolatilus
65,common,Grimothea monodon,Red squat lobster,Langosta chaparra,crustaceans,Arthropoda,Malacostraca,Decapoda,Munididae,yes,39,5,https://en.wikipedia.org/wiki/Grimothea_monodon
65,common,Doris fontainii,Fontaine's Doris,Doris de Fontaine,mollusks,Mollusca,Gastropoda,Nudibranchia,Dorididae,yes,35,0,https://en.wikipedia.org/wiki/Doris_fontainii
65,common,Solaster regularis,Antarctic Sun Star,Estrella de sol,echinoderms,Echinodermata,Asteroidea,Valvatida,Solasteridae,yes,27,2,
65,common,Anisodoris punctuolata,Dotted Sea Slug,Babosa de mar punteada,mollusks,Mollusca,Gastropoda,Nudibranchia,Discodorididae,yes,25,0,
65,common,Phidiana lottini,Lottin's Aeolid,Nudibranquio Espalda de Fuego,mollusks,Mollusca,Gastropoda,Nudibranchia,Facelinidae,yes,22,0,
60,common,Phymanthea pluvia,,,cnidarians,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,yes,352,18,
60,common,Chiton cumingsii,,,mollusks,Mollusca,Polyplacophora,Chitonida,Chitonidae,yes,337,5,
60,common,Mesotomura echinata,,,mollusks,Mollusca,Polyplacophora,Chitonida,Chitonidae,yes,260,16,
60,common,Petrolisthes granulosus,,,crustaceans,Arthropoda,Malacostraca,Decapoda,Porcellanidae,yes,248,1,
60,common,Eurypodius longirostris,,,crustaceans,Arthropoda,Malacostraca,Decapoda,Eurypodiidae,yes,215,2,
60,common,Balanus laevis,,,crustaceans,Arthropoda,Thecostraca,Balanomorpha,Balanidae,yes,205,5,
60,common,Trochita trochiformis,,,mollusks,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,yes,136,5,https://en.wikipedia.org/wiki/Trochita_trochiformis
60,common,Scurria araucana,,,mollusks,Mollusca,Gastropoda,,Lottiidae,yes,47,89,
60,common,Scurria viridula,,,mollusks,Mollusca,Gastropoda,,Lottiidae,yes,106,15,https://en.wikipedia.org/wiki/Scurria_viridula
60,common,Notochthamalus scabrosus,,,crustaceans,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,yes,82,25,http://en.wikipedia.org/wiki/Notochthamalus
60,common,Pyropia columbina,,,algae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,yes,23,82,https://en.wikipedia.org/wiki/Pyropia_columbina
60,common,Scurria ceciliana,,,mollusks,Mollusca,Gastropoda,,Lottiidae,yes,42,57,https://en.wikipedia.org/wiki/Scurria_ceciliana
60,common,Austrolittorina araucana,,,mollusks,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,yes,78,21,https://en.wikipedia.org/wiki/Austrolittorina_araucana
